timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1560038400000,5,5,5,5,4,4,213,209,99,202,119,365,147
1560124800000,5,5,5,5,4,4,213,209,99,202,122,364,147
1560211200000,5,5,5,5,4,4,213,211,99,203,127,360,147
1560297600000,5,5,5,5,4,4,211,212,99,203,125,357,147
1560384000000,5,5,5,5,4,4,207,213,99,203,119,353,147
1560470400000,5,5,5,5,4,4,205,214,97,204,113,346,147
1560556800000,5,5,5,5,3,4,202,212,97,205,110,341,147
1560643200000,5,5,5,5,4,4,204,211,97,208,110,337,147
1560729600000,5,5,5,5,4,4,208,211,97,210,108,338,147
1560816000000,5,5,5,5,4,4,210,210,97,212,104,348,147
1560902400000,5,5,5,5,4,4,211,211,97,212,105,350,147
1560988800000,5,5,5,5,3,4,211,211,97,214,105,352,147
1561075200000,5,5,5,5,4,4,211,212,97,214,108,351,147
1561161600000,5,5,5,5,4,4,211,212,96,212,112,351,147
1561248000000,5,5,5,5,4,3,209,210,96,210,113,349,147
1561334400000,5,5,5,5,4,3,208,210,96,205,110,350,147
1561420800000,5,5,5,5,4,4,207,208,95,201,108,349,147
1561507200000,5,5,5,5,4,4,204,206,94,196,107,350,147
1561593600000,5,5,5,5,4,4,202,205,94,195,105,352,147
1561680000000,5,5,5,5,4,4,205,206,94,195,108,354,147
1561766400000,5,5,5,4,3,4,208,205,94,195,109,355,148
1561852800000,5,5,5,4,4,4,211,205,94,195,112,355,147
1561939200000,5,5,5,5,4,4,215,207,94,195,118,356,148
1562025600000,5,4,5,5,4,4,214,207,94,195,118,357,148
1562112000000,5,4,5,5,3,3,212,208,94,195,115,359,149
1562198400000,5,5,5,5,4,4,211,208,93,193,112,363,148
1562284800000,5,5,5,5,4,4,208,205,93,193,109,364,147
1562371200000,5,5,5,5,4,4,209,204,93,192,115,368,147
1562457600000,5,5,5,4,4,4,208,202,93,192,112,376,147
1562544000000,5,5,5,5,4,4,208,202,92,190,114,371,147
1562630400000,5,5,5,5,4,4,208,203,92,188,112,368,147
1562716800000,5,4,5,5,4,4,208,205,92,187,114,368,148
1562803200000,5,5,5,4,4,4,208,206,92,188,117,365,147
1562889600000,5,5,5,5,4,4,208,206,92,190,120,364,147
1562976000000,5,5,5,5,4,4,210,206,92,189,126,364,147
1563062400000,5,5,5,4,4,4,216,204,92,189,132,364,145
1563148800000,5,5,5,5,4,4,219,205,92,188,139,363,144
1563235200000,5,5,5,5,4,4,223,206,92,188,146,363,144
1563321600000,5,5,5,5,4,4,223,208,92,189,149,363,144
1563408000000,5,5,5,5,4,4,221,209,92,189,147,363,146
1563494400000,5,5,5,5,4,4,219,210,92,188,148,363,146
1563580800000,5,5,5,4,4,4,216,211,92,187,149,363,145
1563667200000,5,4,5,4,3,4,213,210,92,187,155,364,146
1563753600000,5,4,5,4,3,4,212,211,92,186,155,363,147
1563840000000,5,5,5,5,4,4,212,214,92,188,148,364,147
1563926400000,5,5,5,5,4,5,212,215,92,187,150,366,147
1564012800000,5,5,5,4,3,5,211,214,92,187,158,367,145
1564099200000,5,5,5,5,4,5,210,214,92,186,162,364,146
1564185600000,5,5,5,5,4,5,208,214,90,182,171,358,146
1564272000000,5,5,5,5,4,5,208,212,88,176,179,349,146
1564358400000,5,5,5,5,4,5,209,211,85,168,185,340,146
1564444800000,5,5,5,5,4,5,209,211,85,164,180,334,146
1564531200000,5,5,5,5,4,5,210,211,84,164,171,328,146
1564617600000,5,5,5,5,4,5,211,208,84,164,162,327,146
1564704000000,5,4,5,5,4,5,213,206,81,162,153,329,146
1564790400000,5,4,5,5,4,5,214,205,81,159,145,334,146
1564876800000,5,5,5,5,4,5,216,205,81,156,137,345,146
1564963200000,5,5,5,5,3,5,216,208,81,155,130,348,146
1565049600000,5,5,5,5,4,5,216,208,81,156,123,351,146
1565136000000,5,4,4,5,3,4,215,208,81,155,116,351,146
1565222400000,5,4,5,5,3,5,212,208,80,156,116,349,146
1565308800000,5,5,5,5,4,5,210,208,79,158,121,346,146
1565395200000,5,5,5,4,4,5,209,209,79,158,128,344,146
1565481600000,5,5,5,5,4,5,210,210,78,160,134,344,146
1565568000000,5,5,5,5,4,5,210,211,79,160,133,343,145
1565654400000,5,5,5,5,4,4,210,213,79,159,137,343,145
1565740800000,5,5,5,5,4,4,209,212,79,160,137,338,146
1565827200000,5,4,4,5,4,4,208,212,79,160,132,336,146
1565913600000,5,5,5,5,4,4,208,211,79,160,131,332,146
1566000000000,5,5,5,4,4,5,208,210,78,158,130,333,146
1566086400000,5,5,5,5,4,5,208,210,76,158,128,333,146
1566172800000,5,5,5,5,4,5,211,213,76,159,132,336,146
1566259200000,5,5,5,5,4,5,211,213,75,159,130,341,146
1566345600000,5,5,5,5,4,5,213,213,74,159,128,343,146
1566432000000,5,4,5,5,4,4,215,213,74,160,130,342,146
1566518400000,5,5,5,5,4,4,216,213,75,160,133,342,147
1566604800000,5,5,5,5,4,4,213,213,74,160,134,340,146
1566691200000,5,5,5,5,4,4,213,213,76,159,138,341,147
1566777600000,5,5,5,5,4,4,212,213,77,160,139,337,146
1566864000000,5,5,5,5,4,4,213,213,77,160,145,339,147
1566950400000,5,4,4,5,4,4,214,213,78,160,151,338,147
1567036800000,5,5,5,5,4,4,215,212,79,160,153,340,147
1567123200000,5,5,5,5,4,4,214,211,80,160,155,339,147
1567209600000,5,5,5,5,4,4,212,208,82,159,154,336,146
1567296000000,5,5,5,5,4,4,212,204,84,158,147,333,146
1567382400000,5,5,5,5,4,4,211,204,82,157,141,332,147
1567468800000,5,5,5,5,4,4,212,204,82,158,137,332,147
1567555200000,5,4,5,5,4,4,211,206,81,159,132,333,147
1567641600000,5,5,5,5,4,4,212,209,79,161,130,334,147
1567728000000,4,4,4,4,4,4,211,210,77,161,127,335,147
1567814400000,5,5,5,5,4,4,211,209,77,165,125,336,147
1567900800000,5,5,5,5,4,4,210,208,76,169,126,335,146
1567987200000,5,5,5,5,4,4,209,207,76,172,130,336,147
1568073600000,5,5,5,5,4,4,209,207,77,174,134,338,146
1568160000000,5,5,5,5,4,4,208,207,78,176,134,340,145
1568246400000,5,5,5,5,4,4,207,206,79,183,134,340,146
1568332800000,5,5,5,5,4,4,206,206,78,187,131,339,146
1568419200000,5,5,5,5,4,4,206,207,79,186,132,337,147
1568505600000,5,5,5,5,4,4,207,210,80,183,139,336,147
1568592000000,5,5,5,5,4,5,208,213,80,184,146,335,147
1568678400000,4,5,5,5,3,5,208,217,82,184,152,335,147
1568764800000,4,5,5,4,4,4,208,218,83,190,159,335,147
1568851200000,5,5,5,5,4,4,208,217,83,193,165,336,147
1568937600000,5,5,5,5,4,4,208,215,82,194,173,335,147
1569024000000,5,5,5,5,3,3,207,213,80,193,181,335,146
1569110400000,5,5,5,5,4,3,207,212,81,196,183,333,146
1569196800000,5,5,5,5,4,4,207,214,80,197,184,332,146
1569283200000,4,4,4,4,3,4,208,219,80,199,176,331,146
1569369600000,4,5,5,5,4,5,208,225,80,199,167,325,146
1569456000000,5,5,5,5,4,5,208,225,81,200,158,325,146
1569542400000,5,5,5,5,4,4,208,225,81,200,150,321,146
1569628800000,5,5,5,5,4,4,208,224,80,199,142,316,146
1569715200000,4,4,4,4,3,4,208,223,80,197,138,312,146
1569801600000,5,4,5,5,4,5,208,224,80,192,136,306,142
1569888000000,5,4,5,5,4,4,208,224,81,188,135,310,146
1569974400000,5,5,5,5,4,5,208,227,81,184,140,318,146
1570060800000,5,5,5,5,4,5,207,231,81,184,146,318,145
1570147200000,5,5,5,5,4,4,207,237,82,183,150,318,147
1570233600000,5,5,5,5,4,5,207,239,82,182,157,319,146
1570320000000,5,5,5,5,4,5,207,241,82,181,162,320,143
1570406400000,5,5,5,5,4,5,208,244,82,180,163,321,144
1570492800000,4,4,4,4,3,4,209,252,82,180,161,322,144
1570579200000,5,4,5,5,3,5,209,250,82,179,160,323,144
1570665600000,5,5,5,5,4,5,209,247,81,178,156,320,144
1570752000000,5,5,5,5,4,5,208,243,82,177,152,319,145
1570838400000,5,5,5,5,4,5,208,242,82,177,146,314,145
1570924800000,5,5,5,5,4,4,208,239,82,177,144,313,146
1571011200000,5,5,5,5,4,5,208,238,81,177,144,312,146
1571097600000,5,5,5,4,4,5,208,241,80,179,144,311,146
1571184000000,5,5,5,5,4,5,208,241,80,180,146,308,146
1571270400000,5,4,5,5,4,5,207,241,80,180,151,307,144
1571356800000,5,5,5,5,4,5,207,240,78,180,153,306,143
1571443200000,5,5,5,5,3,5,207,238,78,180,160,305,145
1571529600000,5,5,5,5,3,5,205,237,76,181,166,305,145
1571616000000,5,5,5,4,3,5,203,237,75,180,175,306,144
1571702400000,5,5,5,4,3,5,203,236,73,180,176,306,142
1571788800000,5,4,4,4,3,5,203,234,74,180,173,307,144
1571875200000,5,4,4,4,3,5,203,233,73,179,172,306,145
1571961600000,5,5,5,5,3,5,204,230,73,179,172,306,144
1572048000000,5,5,5,5,3,5,204,226,74,179,175,304,145
1572134400000,5,5,5,5,3,5,204,222,74,179,181,302,144
1572220800000,5,5,5,4,3,5,204,224,74,179,190,301,144
1572307200000,5,5,5,4,3,5,204,226,73,180,183,302,144
1572393600000,4,4,4,4,3,5,205,226,73,179,173,302,144
1572480000000,5,5,4,5,3,5,205,227,73,179,164,303,144
